Project Name,Enbloced,Land Size,Master Plan GFA,Plot Ratio,Postal Code,Property Type,Tenure,Planning Area,District,Age,Number of Units,Average Price,Historical High,Historical Low,Distance to MRT
AMBER PARK,1,1.168770668,1.497097212,0.477445112,439961,1,1, Marine Parade,15,0.047977185,3.243196174,1.668588562,2.005850963,3.094280071,1.472034018
AMPAS APARTMENTS,1,-0.379539272,-0.245326913,-0.08259523,329506,0,1, Novena,12,0.482146956,-0.000290875,-0.049453151,-0.127111705,-0.547224735,0.817869568
AO JIANG APARTMENTS,1,-8.70E-12,-0.634070369,-0.074707338,358458,0,1, Toa Payoh,13,0.742648818,-0.000290875,1.233641293,1.045355351,-0.517841964,0.150613359
BELLERIVE,1,-0.510732021,-0.468468891,-0.074707338,258711,0,1, Tanglin,10,-1.341366082,-0.352554837,1.066911506,0.988388026,0.653551191,0.608253224
CASA SOPHIA,1,-0.666750324,-0.600153419,-0.074707338,228170,0,1, Rochor,9,0.134811139,-0.611767941,0.730552285,-1.080983209,-0.445364461,0.428297281
CHUAN PARK,1,2.872706411,2.387219946,-0.074707338,556743,1,0, Serangoon,19,1.003150681,2.259515676,-0.394511318,-0.315236363,-0.833217044,0.06796242
DARBY PARK,1,-0.44812845,-0.482153985,-0.469101946,258353,0,0, Tanglin,10,0.047977185,-0.325968878,1.694685398,3.62E-10,0,0.953681093
DYNASTY GARDEN,1,-0.11126629,8.37E-11,-2.55E-10,276562,1,1, Bukit Timah,10,1.437320451,-0.472191654,0.413040779,0.311404222,-0.562895547,1.011131503
FABER HILLS,1,-0.734358255,8.37E-11,-2.55E-10,128944,0,1, Clementi,5,1.61098836,-0.000290875,-0.26837661,-0.327159757,-0.613825684,1.222671404
FAIRHAVEN,1,-0.549883784,-0.498836392,-0.074707338,228185,0,1, Rochor,9,0.047977185,-0.591828472,0.492781111,-0.467590839,-0.374845809,0.483252052
FLAMINGO VALLEY,1,2.278561238,1.020721824,-0.626859788,454852,1,1, Bedok,15,-1.601867944,1.920544693,0.421739724,0.589616744,0.206933065,1.018717834
FLYNN PARK,1,1.121082054,0.336348772,-0.626859788,117755,1,1, Queenstown,5,0.829482772,-0.21297855,1.53085526,-0.21719957,-0.586401764,0.31011979
GLORIA MANSION,1,-0.362073072,-0.460384036,-0.626859788,118633,0,1, Queenstown,5,0.047977185,-0.485484634,0.800143848,-0.370878867,-0.521759667,0.506401699
HARBOUR VIEW GARDENS,1,-0.49885893,-0.536854926,-0.626859788,118574,0,1, Queenstown,5,0.047977185,-0.312675898,0.212965035,0.544572812,1.732878328,0.448849928
HORIZON TOWERS,1,1.085266532,1.76279313,0.477445112,239194,1,0, River Valley,9,1.003150681,-0.000290875,-0.011757721,-0.07941813,-0.719603661,0.64521886
INSTITUTION VILLE,1,-0.728765146,-0.638329706,0.477445112,239666,0,0, River Valley,9,0.047977185,-0.000290875,1.954203935,3.62E-10,0,0.551645772
KEMAMAN POINT,1,-0.379539272,-0.245326913,0.477445112,329325,0,1, Novena,12,0.221645093,-0.099988223,-0.461203232,-0.305962612,-0.508047707,0.641180767
KLASSIC COURT,1,-0.647419754,-0.55826993,-0.48487773,427063,0,1, Geylang,15,-0.733528403,-0.68487933,-0.551092334,-1.304878048,-0.415981689,0.788889533
KOON SENG COURT,1,-0.724643908,-0.664319555,-0.626859788,427049,0,1, Geylang,15,0.56898091,-0.65829337,-0.282874852,-0.16553153,-0.586401764,0.805385619
LA VILLE,1,-0.350494355,-0.333274352,-0.074707338,436885,1,1, Kallang,15,0.742648818,-0.66493986,1.358326177,-0.078093309,-0.419899392,0.793939357
LIANG COURT,1,-8.70E-12,8.37E-11,-2.55E-10,179030,0,0, Singapore River,6,0.047977185,-0.000290875,-1.338346891,3.62E-10,0,0.071118736
MAR THOMA MANSIONS,1,-0.65958722,-0.560517914,0.477445112,328708,0,0, Kallang,12,0.047977185,-0.571889002,-0.712022824,-0.274166896,-0.511965409,0.757751147
MAYFAIR GARDENS,1,1.121376428,0.374367306,-0.626859788,588376,1,0, Bukit Timah,21,-2.383373532,0.737469499,0.963973986,1.100997856,2.018870636,0.392273399
ONE BALMORAL,1,-0.174949233,-0.306416861,-0.469101946,259784,1,1, Tanglin,10,-1.775535853,-0.086695243,1.675837683,2.06414311,2.404764368,0.849314603
PARK HOUSE,1,-0.350788729,-0.222216062,0.46955722,248645,0,1, Orchard,10,0.047977185,-0.319322388,0.576870917,0.824110155,-0.294532901,0.740999307
PHOENIX HEIGHTS,1,-0.389351744,-0.47667206,-0.634747681,668105,1,0, Bukit Batok,23,1.350486497,0.285508189,-0.229231355,-0.982946416,-0.958583535,0.297044824
SELEGIE CENTRE,1,-0.690398381,-0.468587205,1.581750013,188332,0,1, Rochor,7,0.916316726,-0.525363573,2.273165266,-0.626569423,-0.480623787,0.241580858
SEVEN HOLT ROAD,1,-0.457940922,-0.333905365,0.477445112,249445,0,1, Tanglin,10,-0.386192586,-0.392433776,0.453635857,0.348499225,-0.034005661,0.84864366
SOPHIA VIEW,1,-0.701780849,-0.662820899,-0.074707338,228173,0,1, Rochor,9,-0.125690724,-0.65829337,-0.420608154,3.62E-10,0,0.426125049
SOPHIA VILLE,1,-0.549883784,-0.498836392,-0.074707338,228184,0,1, Rochor,9,0.047977185,-0.000290875,1.454014576,3.62E-10,0,0.481014685
