Project Name,Enbloced,Land Size,Master Plan GFA,Plot Ratio,Postal Code,Property Type,Tenure,Planning Area,District,Age,Number of Units,Average Price,Historical High,Historical Low,Distance to MRT
1919,0,2138.0,234.0,0.11,228175,0,1, Rochor,9,28.0,75.0,1935.0,2233.0,1490.0,0.4559230144387298
1953,0,587.0,1761.0,3.0,217701,0,1, Kallang,8,21.0,58.0,1920.0,2113.0,1706.0,0.5447068636268256
1 KING ALBERT PARK,0,8324.0,13485.0,1.62,598326,1,1, Bukit Timah,21,46.0,11.0,1886.0,2056.0,554.0,0.4029904997087193
1 MOULMEIN RISE,0,2314.0,6480.0,2.8,308143,0,1, Novena,11,40.0,5.0,1967.0,2100.0,682.0,0.3891629382716215
10 EVELYN,0,1112.0,1557.0,1.4,309312,0,1, Novena,11,21.0,56.0,2604.0,2908.0,1913.0,0.5119498614047536
10 SHELFORD,0,2127.0,2978.0,1.4,288353,0,1, Bukit Timah,11,29.0,69.0,1415.0,1912.0,1045.0,0.494198257330143
11 AMBER ROAD,0,1726.0,4832.0,2.8,439857,0,1, Marine Parade,15,39.0,4.0,1812.0,1812.0,478.0,1.582802491582588
111 EMERALD HILL,0,2770.0,8500.0,3.07,229391,0,1, Newton,9,32.0,4.0,2391.0,3030.0,1768.0,0.5339179622478728
120 GRANGE,0,1466.0,3079.0,2.1,249600,0,1, River Valley,10,39.48150357995227,56.0,2796.0,3386.0,2669.0,0.8694045019243763
15 Holland Hill,0,7831.0,13782.0,2.2073144876325084,278735,1,1, Bukit Timah,10,39.48150357995227,57.0,3066.0,3496.0,2700.0,0.5740731590191088
18 SHELFORD,0,2747.0,3846.0,1.4,288407,0,1, Bukit Timah,11,33.0,19.0,1841.0,1916.0,1400.0,0.6266660353432725
18 WOODSVILLE,0,2860.0,5883.0,2.06,357799,0,1, Toa Payoh,13,28.0,11.0,1672.0,1963.0,1191.0,0.222073530328134
183 LONGHAUS,0,1574.0,4722.0,3.0,574429,0,1, Bishan,20,24.0,4.0,1675.0,1793.0,1400.0,0.4781150923151166
